name,nameHi,aliases,kcal,proteinG,fatG,carbG,fibreG,sodiumMg,addedSugarG,saturatedFatG,tags,suitableFor,allergens,costTier,source,sourceRef,measures
Roti (whole wheat),रोटी,roti|chapati|chapatti|phulka|whole wheat roti|atta roti,297,11.0,3.7,55.0,10.0,2,0,0.6,gi:medium|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,roti=35*
Bajra roti,बाजरे की रोटी,bajra roti|bajre ki roti|pearl millet roti|millet roti|bajra rotla,335,11.6,5.0,61.0,11.3,10,0,1.0,gi:medium|attr:high_fibre|attr:iron_rich|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan|jain,,low,manual,,roti=45*
Jowar roti,ज्वार की रोटी,jowar roti|jwar roti|sorghum roti|jowar bhakri|jonna rotte,327,10.4,1.9,67.0,9.7,8,0,0.4,gi:medium|attr:high_fibre|meal:lunch|cuisine:west,veg|eggetarian|non_veg|vegan|jain,,low,manual,,roti=45*
Ragi roti,रागी की रोटी,ragi roti|finger millet roti|nachni roti|ragi rotti,329,7.3,1.3,72.0,11.5,11,0,0.3,gi:medium|attr:high_fibre|attr:calcium_rich|meal:lunch|cuisine:south,veg|eggetarian|non_veg|vegan|jain,,low,manual,,roti=45*
Missi roti,मिस्सी रोटी,missi roti|misi roti|besan roti,322,12.0,6.0,55.0,8.0,260,0,1.2,gi:medium|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,roti=40*
Makki roti,मक्के की रोटी,makki roti|makke di roti|corn roti|maize roti|makka roti,333,8.8,3.8,66.0,7.0,9,0,0.8,gi:medium|attr:high_fibre|meal:lunch|cuisine:north,veg|eggetarian|non_veg|vegan|jain,,low,manual,,roti=50*
Tandoori roti,तंदूरी रोटी,tandoori roti|tandoori chapati|tanduri roti,288,10.5,2.5,56.0,8.0,180,0,0.5,gi:medium|attr:high_fibre|meal:dinner|cuisine:north,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,roti=45*
Naan (plain),नान,naan|nan|plain naan|tandoori naan,308,9.0,8.0,50.0,2.0,320,1.0,3.0,gi:high|meal:dinner|cuisine:north,veg|eggetarian|non_veg|jain,wheat_gluten|milk,medium,manual,,piece=90*
Butter naan,बटर नान,butter naan|makhan naan|butter nan,353,9.0,13.0,50.0,2.0,340,1.0,6.5,gi:high|attr:high_fat|meal:dinner|cuisine:north,veg|eggetarian|non_veg|jain,wheat_gluten|milk,medium,manual,,piece=95*
Kulcha,कुलचा,kulcha|kulchaa|amritsari kulcha,305,8.5,7.0,52.0,2.2,300,1.0,3.0,gi:high|meal:dinner|cuisine:north,veg|eggetarian|non_veg|jain,wheat_gluten|milk,medium,manual,,piece=85*
